@relation Ogrenci_Performans

@attribute ﻿Cinsiyet {Kadin,Erkek}
@attribute 'Ebeveyn Egitim Seviyesi' {'Lisans Mezunu','Onlisans Mezunu','Yuksek Lisans Mezunu','Lise Mezunu'}
@attribute 'Okul Yemekhanesi' {Yok,Var}
@attribute 'Ozel Ders' {Yok,Var}
@attribute Matematik numeric
@attribute Okuma numeric
@attribute Yazma numeric

@data
Erkek,'Lise Mezunu',Var,Yok,39,39,34
Kadin,'Onlisans Mezunu',Yok,Yok,39,64,57
Kadin,'Lise Mezunu',Var,Yok,39,52,46
Erkek,'Lisans Mezunu',Var,Var,39,42,38
Erkek,'Onlisans Mezunu',Var,Yok,40,43,39
Erkek,'Onlisans Mezunu',Yok,Yok,40,52,43
Erkek,'Onlisans Mezunu',Yok,Yok,40,42,38
Erkek,'Lise Mezunu',Var,Var,40,46,50
Kadin,'Yuksek Lisans Mezunu',Var,Yok,40,59,54
Kadin,'Onlisans Mezunu',Yok,Yok,40,48,50
Erkek,'Onlisans Mezunu',Var,Var,40,55,53
Kadin,'Yuksek Lisans Mezunu',Var,Yok,40,58,54
Kadin,'Lise Mezunu',Var,Var,40,65,64
Kadin,'Onlisans Mezunu',Yok,Yok,40,59,51
Kadin,'Onlisans Mezunu',Var,Yok,41,51,48
Kadin,'Lise Mezunu',Var,Yok,41,46,43
Kadin,'Lise Mezunu',Yok,Yok,41,55,51
Erkek,'Onlisans Mezunu',Var,Yok,41,39,34
Erkek,'Lise Mezunu',Yok,Yok,41,52,51
Kadin,'Lise Mezunu',Var,Yok,41,45,40
Erkek,'Lise Mezunu',Var,Yok,42,39,34
Kadin,'Onlisans Mezunu',Var,Var,42,55,54
Kadin,'Lise Mezunu',Var,Yok,42,62,60
Kadin,'Onlisans Mezunu',Var,Var,42,66,69
Kadin,'Onlisans Mezunu',Var,Var,42,61,58
Kadin,'Lise Mezunu',Yok,Yok,42,52,51
Erkek,'Onlisans Mezunu',Var,Var,43,45,50
Kadin,'Lisans Mezunu',Var,Var,43,51,54
Kadin,'Lise Mezunu',Var,Yok,43,53,53
Kadin,'Onlisans Mezunu',Var,Yok,43,60,58
Kadin,'Lisans Mezunu',Var,Yok,43,62,61
Erkek,'Onlisans Mezunu',Yok,Yok,44,54,53
Erkek,'Onlisans Mezunu',Var,Yok,44,41,38
Kadin,'Lise Mezunu',Var,Yok,44,50,51
Kadin,'Lise Mezunu',Var,Yok,44,64,58
Kadin,'Lisans Mezunu',Var,Yok,44,63,62
Kadin,'Lise Mezunu',Yok,Var,44,51,55
Erkek,'Lise Mezunu',Var,Yok,44,51,48
Kadin,'Lise Mezunu',Yok,Yok,44,61,52
Kadin,'Lise Mezunu',Var,Yok,44,45,45
Erkek,'Lise Mezunu',Var,Yok,45,37,37
Erkek,'Lise Mezunu',Var,Var,45,52,49
Kadin,'Onlisans Mezunu',Var,Yok,45,53,55
Kadin,'Yuksek Lisans Mezunu',Var,Yok,45,56,54
Erkek,'Lise Mezunu',Yok,Yok,45,48,46
Kadin,'Onlisans Mezunu',Var,Var,45,73,70
Erkek,'Lise Mezunu',Var,Yok,45,47,49
Kadin,'Lisans Mezunu',Yok,Yok,45,59,64
Kadin,'Lise Mezunu',Yok,Yok,45,63,59
Erkek,'Yuksek Lisans Mezunu',Var,Var,46,42,46
Kadin,'Lise Mezunu',Var,Var,46,54,58
Kadin,'Onlisans Mezunu',Var,Yok,46,64,66
Erkek,'Onlisans Mezunu',Yok,Yok,46,43,42
Erkek,'Lise Mezunu',Yok,Var,46,41,43
Kadin,'Onlisans Mezunu',Yok,Yok,46,58,57
Erkek,'Onlisans Mezunu',Var,Yok,46,43,41
Erkek,'Lise Mezunu',Yok,Yok,46,34,36
Kadin,'Onlisans Mezunu',Var,Yok,46,56,57
Kadin,'Onlisans Mezunu',Var,Yok,46,61,55
Erkek,'Onlisans Mezunu',Var,Var,46,43,44
Erkek,'Onlisans Mezunu',Var,Yok,47,57,44
Kadin,'Onlisans Mezunu',Yok,Yok,47,49,50
Erkek,'Lise Mezunu',Yok,Var,47,49,49
Kadin,'Onlisans Mezunu',Var,Yok,47,53,58
Erkek,'Onlisans Mezunu',Yok,Yok,47,37,35
Kadin,'Yuksek Lisans Mezunu',Var,Var,47,58,67
Kadin,'Lise Mezunu',Var,Yok,47,59,50
Erkek,'Lise Mezunu',Yok,Yok,47,46,42
Kadin,'Lise Mezunu',Yok,Yok,47,54,53
Erkek,'Onlisans Mezunu',Yok,Yok,47,43,41
Kadin,'Lisans Mezunu',Var,Var,47,62,66
Erkek,'Lise Mezunu',Var,Yok,48,52,45
Erkek,'Lise Mezunu',Var,Yok,48,45,41
Erkek,'Lisans Mezunu',Var,Yok,48,51,46
Erkek,'Onlisans Mezunu',Yok,Yok,48,43,45
Kadin,'Onlisans Mezunu',Var,Var,48,56,58
Kadin,'Lise Mezunu',Yok,Yok,48,66,65
Kadin,'Lise Mezunu',Yok,Yok,48,58,54
Kadin,'Lise Mezunu',Yok,Yok,48,62,60
Kadin,'Lise Mezunu',Var,Yok,48,58,52
Kadin,'Lise Mezunu',Var,Yok,48,56,51
Kadin,'Lise Mezunu',Var,Yok,48,54,53
Erkek,'Lise Mezunu',Yok,Yok,49,49,41
Erkek,'Lise Mezunu',Var,Yok,49,45,45
Erkek,'Yuksek Lisans Mezunu',Var,Yok,49,53,52
Kadin,'Lise Mezunu',Var,Yok,49,57,52
Erkek,'Onlisans Mezunu',Yok,Yok,49,51,43
Erkek,'Lisans Mezunu',Var,Var,49,58,60
Kadin,'Onlisans Mezunu',Var,Yok,49,65,55
Kadin,'Onlisans Mezunu',Yok,Yok,49,52,54
Erkek,'Onlisans Mezunu',Var,Yok,49,57,46
Kadin,'Onlisans Mezunu',Yok,Yok,49,53,53
Kadin,'Lise Mezunu',Yok,Yok,49,63,56
Kadin,'Lise Mezunu',Var,Yok,49,58,55
Erkek,'Onlisans Mezunu',Var,Var,49,52,51
Erkek,'Onlisans Mezunu',Var,Yok,49,51,51
Kadin,'Onlisans Mezunu',Var,Yok,49,58,60
Erkek,'Lise Mezunu',Var,Var,49,50,52
Kadin,'Onlisans Mezunu',Var,Yok,49,65,61
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,50,53,58
Kadin,'Lise Mezunu',Var,Yok,50,64,59
Kadin,'Onlisans Mezunu',Var,Yok,50,56,54
Erkek,'Onlisans Mezunu',Var,Var,50,47,54
Kadin,'Lise Mezunu',Yok,Yok,50,50,47
Kadin,'Lise Mezunu',Var,Yok,50,67,63
Erkek,'Onlisans Mezunu',Var,Var,50,48,53
Kadin,'Lise Mezunu',Var,Var,50,66,64
Kadin,'Lise Mezunu',Yok,Yok,50,53,55
Kadin,'Lise Mezunu',Var,Var,50,60,60
Kadin,'Onlisans Mezunu',Yok,Var,50,64,66
Erkek,'Lise Mezunu',Yok,Yok,50,48,42
Kadin,'Lisans Mezunu',Var,Yok,50,60,59
Kadin,'Yuksek Lisans Mezunu',Var,Yok,50,67,73
Erkek,'Lisans Mezunu',Var,Yok,50,42,48
Kadin,'Onlisans Mezunu',Yok,Yok,51,58,54
Kadin,'Lise Mezunu',Yok,Yok,51,63,61
Kadin,'Lisans Mezunu',Yok,Yok,51,49,51
Erkek,'Lise Mezunu',Yok,Var,51,54,41
Erkek,'Lise Mezunu',Yok,Yok,51,52,44
Kadin,'Lisans Mezunu',Var,Var,51,72,79
Erkek,'Onlisans Mezunu',Yok,Var,51,60,58
Kadin,'Lise Mezunu',Yok,Yok,51,66,62
Erkek,'Lise Mezunu',Var,Var,51,56,53
Erkek,'Lise Mezunu',Yok,Yok,51,31,36
Kadin,'Onlisans Mezunu',Yok,Yok,51,51,54
Erkek,'Onlisans Mezunu',Yok,Yok,52,55,49
Kadin,'Onlisans Mezunu',Var,Yok,52,76,70
Erkek,'Lise Mezunu',Yok,Yok,52,53,49
Kadin,'Yuksek Lisans Mezunu',Var,Var,52,70,62
Kadin,'Onlisans Mezunu',Yok,Var,52,66,73
Kadin,'Lisans Mezunu',Yok,Yok,52,65,69
Kadin,'Onlisans Mezunu',Yok,Yok,52,58,58
Kadin,'Lise Mezunu',Var,Var,52,57,56
Kadin,'Onlisans Mezunu',Var,Yok,52,59,56
Erkek,'Onlisans Mezunu',Var,Yok,52,57,50
Kadin,'Onlisans Mezunu',Var,Var,52,59,65
Erkek,'Lise Mezunu',Yok,Yok,52,48,49
Kadin,'Lise Mezunu',Var,Var,52,67,72
Kadin,'Onlisans Mezunu',Yok,Var,52,59,62
Kadin,'Yuksek Lisans Mezunu',Var,Yok,52,65,61
Kadin,'Onlisans Mezunu',Yok,Yok,52,55,57
Erkek,'Lise Mezunu',Yok,Var,52,49,46
Kadin,'Lisans Mezunu',Yok,Var,52,61,66
Kadin,'Onlisans Mezunu',Yok,Yok,53,58,65
Erkek,'Onlisans Mezunu',Yok,Yok,53,55,48
Erkek,'Onlisans Mezunu',Yok,Yok,53,44,42
Erkek,'Lise Mezunu',Var,Var,53,37,40
Erkek,'Lise Mezunu',Var,Var,53,51,51
Erkek,'Lise Mezunu',Yok,Yok,53,52,42
Kadin,'Onlisans Mezunu',Var,Yok,53,71,67
Erkek,'Onlisans Mezunu',Yok,Yok,53,43,43
Kadin,'Onlisans Mezunu',Var,Yok,53,61,62
Erkek,'Onlisans Mezunu',Var,Yok,53,54,48
Erkek,'Lisans Mezunu',Var,Yok,53,58,55
Erkek,'Lise Mezunu',Yok,Var,53,52,49
Erkek,'Onlisans Mezunu',Yok,Yok,53,45,40
Kadin,'Onlisans Mezunu',Var,Yok,53,70,70
Kadin,'Onlisans Mezunu',Yok,Yok,53,62,56
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,53,61,68
Erkek,'Lise Mezunu',Yok,Yok,53,54,48
Erkek,'Lise Mezunu',Var,Yok,53,58,44
Erkek,'Onlisans Mezunu',Yok,Yok,53,39,37
Kadin,'Onlisans Mezunu',Var,Yok,53,58,57
Kadin,'Onlisans Mezunu',Var,Var,53,66,73
Kadin,'Lise Mezunu',Var,Yok,53,72,64
Kadin,'Onlisans Mezunu',Yok,Yok,53,62,53
Kadin,'Lise Mezunu',Var,Var,53,50,60
Kadin,'Onlisans Mezunu',Var,Yok,54,58,61
Erkek,'Onlisans Mezunu',Yok,Yok,54,53,47
Erkek,'Lisans Mezunu',Yok,Yok,54,49,47
Erkek,'Onlisans Mezunu',Yok,Yok,54,52,51
Erkek,'Lise Mezunu',Yok,Yok,54,52,52
Kadin,'Lise Mezunu',Yok,Yok,54,59,62
Erkek,'Onlisans Mezunu',Var,Yok,54,54,45
Kadin,'Lise Mezunu',Yok,Yok,54,64,68
Kadin,'Onlisans Mezunu',Yok,Yok,54,48,52
Kadin,'Lise Mezunu',Yok,Var,54,61,62
Erkek,'Yuksek Lisans Mezunu',Var,Yok,54,59,50
Kadin,'Onlisans Mezunu',Yok,Yok,54,64,65
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,54,60,63
Kadin,'Yuksek Lisans Mezunu',Yok,Var,54,64,67
Erkek,'Lise Mezunu',Var,Yok,54,72,59
Kadin,'Onlisans Mezunu',Var,Yok,54,65,65
Kadin,'Onlisans Mezunu',Yok,Yok,54,61,58
Kadin,'Onlisans Mezunu',Yok,Yok,54,63,67
Erkek,'Onlisans Mezunu',Var,Yok,55,61,54
Kadin,'Onlisans Mezunu',Yok,Var,55,65,62
Kadin,'Onlisans Mezunu',Yok,Yok,55,69,65
Erkek,'Lise Mezunu',Var,Yok,55,56,51
Kadin,'Lise Mezunu',Var,Yok,55,65,62
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,55,64,70
Erkek,'Lisans Mezunu',Var,Yok,55,59,54
Kadin,'Onlisans Mezunu',Yok,Var,55,72,79
Kadin,'Lise Mezunu',Yok,Yok,55,73,73
Kadin,'Onlisans Mezunu',Var,Yok,55,71,69
Erkek,'Lise Mezunu',Var,Var,55,59,59
Erkek,'Lise Mezunu',Var,Yok,55,46,43
Erkek,'Lise Mezunu',Yok,Yok,55,47,44
Erkek,'Onlisans Mezunu',Var,Yok,55,55,47
Erkek,'Onlisans Mezunu',Yok,Yok,55,58,52
Erkek,'Lisans Mezunu',Var,Yok,55,46,44
Erkek,'Lise Mezunu',Yok,Var,55,41,48
Kadin,'Onlisans Mezunu',Var,Yok,55,76,76
Kadin,'Yuksek Lisans Mezunu',Var,Yok,56,72,65
Kadin,'Lise Mezunu',Yok,Var,56,68,74
Kadin,'Lise Mezunu',Yok,Yok,56,52,55
Erkek,'Lise Mezunu',Var,Yok,56,54,52
Kadin,'Onlisans Mezunu',Var,Yok,56,65,63
Erkek,'Lise Mezunu',Var,Var,56,61,60
Kadin,'Lisans Mezunu',Yok,Var,56,79,72
Kadin,'Onlisans Mezunu',Var,Var,56,68,70
Kadin,'Onlisans Mezunu',Yok,Yok,56,58,64
Erkek,'Onlisans Mezunu',Var,Yok,57,56,57
Kadin,'Onlisans Mezunu',Var,Var,57,74,76
Erkek,'Lise Mezunu',Yok,Yok,57,43,47
Kadin,'Onlisans Mezunu',Yok,Yok,57,69,68
Erkek,'Lise Mezunu',Yok,Yok,57,50,54
Kadin,'Onlisans Mezunu',Var,Yok,57,78,67
Erkek,'Onlisans Mezunu',Yok,Var,57,54,56
Erkek,'Lise Mezunu',Var,Var,57,56,54
Kadin,'Lise Mezunu',Yok,Var,57,58,64
Kadin,'Onlisans Mezunu',Yok,Var,57,78,79
Kadin,'Lise Mezunu',Yok,Yok,57,67,72
Kadin,'Onlisans Mezunu',Var,Var,57,68,73
Erkek,'Lise Mezunu',Yok,Yok,57,61,54
Erkek,'Lise Mezunu',Yok,Yok,57,48,51
Kadin,'Onlisans Mezunu',Yok,Var,57,77,80
Kadin,'Lise Mezunu',Var,Yok,57,58,57
Kadin,'Lise Mezunu',Var,Var,57,75,73
Erkek,'Lise Mezunu',Yok,Yok,57,51,54
Erkek,'Onlisans Mezunu',Yok,Yok,58,54,52
Kadin,'Onlisans Mezunu',Yok,Yok,58,73,68
Erkek,'Onlisans Mezunu',Yok,Var,58,59,58
Kadin,'Onlisans Mezunu',Var,Var,58,63,73
Kadin,'Onlisans Mezunu',Yok,Yok,58,70,67
Kadin,'Onlisans Mezunu',Var,Yok,58,67,62
Kadin,'Onlisans Mezunu',Yok,Yok,58,67,72
Erkek,'Lisans Mezunu',Yok,Yok,58,55,48
Kadin,'Yuksek Lisans Mezunu',Var,Var,58,76,78
Kadin,'Onlisans Mezunu',Var,Yok,58,61,66
Kadin,'Lise Mezunu',Yok,Var,58,70,68
Erkek,'Onlisans Mezunu',Yok,Yok,58,49,42
Erkek,'Lise Mezunu',Var,Yok,58,61,52
Kadin,'Lise Mezunu',Yok,Yok,58,62,59
Erkek,'Onlisans Mezunu',Var,Yok,58,57,54
Kadin,'Onlisans Mezunu',Yok,Yok,58,63,65
Kadin,'Onlisans Mezunu',Yok,Yok,58,59,66
Erkek,'Lise Mezunu',Var,Var,58,51,52
Erkek,'Onlisans Mezunu',Var,Yok,58,55,53
Kadin,'Lise Mezunu',Yok,Var,58,75,77
Erkek,'Onlisans Mezunu',Var,Yok,58,60,57
Erkek,'Onlisans Mezunu',Yok,Yok,58,50,45
Erkek,'Onlisans Mezunu',Var,Var,58,57,53
Kadin,'Lise Mezunu',Yok,Yok,58,68,61
Erkek,'Lise Mezunu',Yok,Var,58,52,54
Erkek,'Onlisans Mezunu',Var,Var,59,65,66
Kadin,'Lise Mezunu',Yok,Yok,59,58,59
Kadin,'Onlisans Mezunu',Yok,Yok,59,66,67
Kadin,'Onlisans Mezunu',Var,Yok,59,62,64
Kadin,'Onlisans Mezunu',Yok,Var,59,70,66
Erkek,'Lise Mezunu',Var,Var,59,69,65
Erkek,'Onlisans Mezunu',Yok,Yok,59,41,42
Erkek,'Onlisans Mezunu',Yok,Yok,59,51,43
Erkek,'Lise Mezunu',Var,Yok,59,42,41
Kadin,'Lise Mezunu',Yok,Var,59,63,75
Kadin,'Lisans Mezunu',Yok,Var,59,64,75
Kadin,'Onlisans Mezunu',Yok,Yok,59,71,70
Erkek,'Onlisans Mezunu',Var,Yok,59,62,61
Erkek,'Onlisans Mezunu',Yok,Yok,59,60,58
Kadin,'Lisans Mezunu',Yok,Yok,59,70,73
Kadin,'Lise Mezunu',Yok,Var,59,54,67
Kadin,'Lise Mezunu',Yok,Var,59,85,80
Kadin,'Lise Mezunu',Var,Yok,59,73,69
Kadin,'Lise Mezunu',Yok,Yok,59,67,61
Erkek,'Lise Mezunu',Yok,Yok,59,52,46
Kadin,'Onlisans Mezunu',Var,Var,59,78,76
Kadin,'Onlisans Mezunu',Yok,Yok,59,70,65
Kadin,'Lisans Mezunu',Yok,Yok,59,72,70
Kadin,'Lise Mezunu',Var,Var,59,63,64
Kadin,'Onlisans Mezunu',Yok,Var,59,73,72
Erkek,'Lisans Mezunu',Yok,Yok,59,54,51
Kadin,'Lise Mezunu',Yok,Yok,59,72,68
Erkek,'Lise Mezunu',Var,Yok,59,53,52
Erkek,'Lise Mezunu',Yok,Yok,59,58,47
Kadin,'Lise Mezunu',Yok,Yok,59,72,80
Kadin,'Onlisans Mezunu',Yok,Yok,59,62,69
Kadin,'Lise Mezunu',Var,Var,59,71,65
Kadin,'Onlisans Mezunu',Yok,Yok,60,72,74
Erkek,'Lise Mezunu',Yok,Var,60,44,47
Erkek,'Onlisans Mezunu',Var,Yok,60,60,60
Erkek,'Onlisans Mezunu',Var,Var,60,51,56
Kadin,'Lise Mezunu',Yok,Var,60,70,70
Erkek,'Lise Mezunu',Yok,Yok,60,59,54
Kadin,'Onlisans Mezunu',Var,Yok,60,75,74
Erkek,'Lise Mezunu',Var,Yok,60,57,51
Kadin,'Lise Mezunu',Yok,Yok,60,68,72
Erkek,'Lise Mezunu',Yok,Yok,60,68,60
Kadin,'Lise Mezunu',Yok,Var,60,70,74
Erkek,'Onlisans Mezunu',Yok,Yok,60,63,59
Kadin,'Onlisans Mezunu',Var,Yok,60,66,70
Kadin,'Lise Mezunu',Var,Yok,60,72,68
Kadin,'Lise Mezunu',Yok,Var,60,64,74
Erkek,'Onlisans Mezunu',Var,Var,60,62,60
Erkek,'Onlisans Mezunu',Var,Yok,61,58,56
Erkek,'Lise Mezunu',Var,Yok,61,57,56
Kadin,'Lise Mezunu',Yok,Var,61,74,72
Kadin,'Onlisans Mezunu',Yok,Var,61,86,87
Erkek,'Onlisans Mezunu',Yok,Yok,61,55,52
Erkek,'Lise Mezunu',Yok,Var,61,56,56
Erkek,'Onlisans Mezunu',Yok,Yok,61,61,62
Kadin,'Onlisans Mezunu',Var,Yok,61,68,66
Kadin,'Lise Mezunu',Yok,Yok,61,73,63
Kadin,'Lisans Mezunu',Yok,Yok,61,72,70
Erkek,'Lisans Mezunu',Var,Yok,61,66,61
Kadin,'Lise Mezunu',Yok,Yok,61,72,70
Erkek,'Lise Mezunu',Yok,Yok,61,56,55
Erkek,'Onlisans Mezunu',Var,Yok,61,47,56
Erkek,'Yuksek Lisans Mezunu',Var,Yok,61,67,66
Kadin,'Yuksek Lisans Mezunu',Var,Var,61,71,78
Erkek,'Onlisans Mezunu',Yok,Var,61,51,52
Kadin,'Onlisans Mezunu',Yok,Yok,61,64,62
Kadin,'Lisans Mezunu',Var,Yok,61,58,62
Erkek,'Onlisans Mezunu',Yok,Yok,61,48,46
Erkek,'Lise Mezunu',Var,Yok,61,60,55
Erkek,'Lisans Mezunu',Var,Var,61,70,76
Kadin,'Onlisans Mezunu',Var,Yok,61,60,57
Kadin,'Lise Mezunu',Yok,Yok,61,68,63
Erkek,'Onlisans Mezunu',Yok,Yok,61,42,41
Erkek,'Onlisans Mezunu',Var,Var,61,71,73
Erkek,'Lise Mezunu',Var,Var,61,62,61
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,62,70,75
Erkek,'Onlisans Mezunu',Var,Yok,62,61,55
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,62,68,68
Erkek,'Lise Mezunu',Yok,Yok,62,55,49
Erkek,'Lise Mezunu',Yok,Var,62,67,69
Erkek,'Lise Mezunu',Yok,Yok,62,67,61
Erkek,'Yuksek Lisans Mezunu',Var,Var,62,68,75
Erkek,'Lise Mezunu',Yok,Var,62,66,68
Kadin,'Lise Mezunu',Yok,Yok,62,64,66
Kadin,'Onlisans Mezunu',Yok,Yok,62,73,70
Erkek,'Onlisans Mezunu',Yok,Var,62,56,53
Erkek,'Onlisans Mezunu',Yok,Yok,62,61,57
Kadin,'Lise Mezunu',Yok,Yok,62,64,64
Kadin,'Onlisans Mezunu',Var,Yok,62,67,62
Erkek,'Lise Mezunu',Var,Yok,62,49,52
Kadin,'Onlisans Mezunu',Yok,Yok,62,74,70
Erkek,'Onlisans Mezunu',Yok,Var,62,61,58
Kadin,'Lise Mezunu',Var,Yok,62,67,64
Erkek,'Lisans Mezunu',Var,Yok,62,63,56
Kadin,'Onlisans Mezunu',Yok,Yok,62,67,67
Erkek,'Lise Mezunu',Yok,Yok,62,55,54
Erkek,'Onlisans Mezunu',Yok,Var,62,66,68
Erkek,'Lisans Mezunu',Var,Yok,62,72,65
Kadin,'Onlisans Mezunu',Var,Yok,62,72,70
Kadin,'Lise Mezunu',Yok,Yok,62,62,63
Kadin,'Lisans Mezunu',Var,Yok,62,78,79
Erkek,'Lise Mezunu',Yok,Yok,62,67,58
Erkek,'Lise Mezunu',Yok,Yok,62,64,55
Kadin,'Onlisans Mezunu',Yok,Var,62,76,80
Erkek,'Onlisans Mezunu',Var,Yok,62,57,62
Kadin,'Onlisans Mezunu',Yok,Yok,62,69,69
Kadin,'Onlisans Mezunu',Yok,Yok,62,70,72
Erkek,'Onlisans Mezunu',Yok,Yok,62,65,58
Kadin,'Lisans Mezunu',Var,Yok,62,72,74
Erkek,'Lise Mezunu',Var,Yok,62,55,55
Kadin,'Onlisans Mezunu',Yok,Yok,63,65,61
Erkek,'Onlisans Mezunu',Yok,Var,63,55,63
Kadin,'Onlisans Mezunu',Yok,Var,63,72,70
Erkek,'Lise Mezunu',Var,Yok,63,57,56
Kadin,'Onlisans Mezunu',Yok,Yok,63,67,70
Erkek,'Lisans Mezunu',Var,Yok,63,66,67
Kadin,'Lisans Mezunu',Yok,Yok,63,75,81
Erkek,'Lise Mezunu',Yok,Var,63,60,57
Erkek,'Lisans Mezunu',Yok,Yok,63,71,69
Kadin,'Onlisans Mezunu',Yok,Var,63,78,80
Erkek,'Onlisans Mezunu',Yok,Yok,63,61,61
Kadin,'Lise Mezunu',Yok,Yok,63,73,68
Erkek,'Lise Mezunu',Yok,Var,63,67,67
Kadin,'Lise Mezunu',Yok,Yok,63,69,74
Erkek,'Onlisans Mezunu',Var,Yok,63,61,54
Kadin,'Onlisans Mezunu',Yok,Yok,63,74,74
Kadin,'Onlisans Mezunu',Var,Var,63,80,80
Erkek,'Lise Mezunu',Var,Yok,63,48,47
Kadin,'Lisans Mezunu',Var,Yok,63,73,78
Kadin,'Onlisans Mezunu',Var,Var,63,73,71
Erkek,'Onlisans Mezunu',Var,Yok,63,61,60
Kadin,'Onlisans Mezunu',Yok,Yok,63,64,67
Erkek,'Lisans Mezunu',Yok,Var,63,64,66
Kadin,'Lise Mezunu',Var,Var,63,78,79
Erkek,'Onlisans Mezunu',Yok,Yok,63,63,60
Erkek,'Lise Mezunu',Yok,Yok,63,63,62
Erkek,'Lise Mezunu',Var,Var,64,64,67
Kadin,'Lise Mezunu',Yok,Var,64,60,74
Kadin,'Onlisans Mezunu',Var,Yok,64,73,68
Kadin,'Lise Mezunu',Var,Var,64,79,77
Kadin,'Lisans Mezunu',Yok,Yok,64,73,70
Erkek,'Onlisans Mezunu',Var,Yok,64,66,59
Kadin,'Onlisans Mezunu',Var,Var,64,85,85
Erkek,'Lise Mezunu',Yok,Var,64,53,57
Kadin,'Onlisans Mezunu',Yok,Yok,64,64,70
Erkek,'Lise Mezunu',Yok,Yok,64,50,43
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,64,63,66
Kadin,'Lise Mezunu',Var,Yok,64,62,68
Kadin,'Onlisans Mezunu',Var,Yok,64,74,75
Erkek,'Lisans Mezunu',Yok,Yok,64,60,58
Erkek,'Lise Mezunu',Yok,Yok,64,58,51
Erkek,'Lise Mezunu',Yok,Yok,64,54,50
Kadin,'Onlisans Mezunu',Yok,Yok,64,76,74
Kadin,'Lise Mezunu',Var,Yok,64,73,71
Erkek,'Onlisans Mezunu',Var,Yok,64,56,52
Kadin,'Onlisans Mezunu',Yok,Var,64,82,77
Kadin,'Lise Mezunu',Yok,Yok,65,81,73
Kadin,'Onlisans Mezunu',Var,Var,65,75,70
Erkek,'Onlisans Mezunu',Yok,Yok,65,54,57
Kadin,'Lisans Mezunu',Yok,Yok,65,72,74
Erkek,'Lise Mezunu',Yok,Var,65,66,62
Kadin,'Lisans Mezunu',Yok,Yok,65,67,62
Erkek,'Onlisans Mezunu',Yok,Var,65,77,74
Kadin,'Onlisans Mezunu',Yok,Yok,65,69,70
Erkek,'Onlisans Mezunu',Var,Var,65,67,65
Kadin,'Onlisans Mezunu',Var,Yok,65,81,77
Kadin,'Lise Mezunu',Yok,Yok,65,64,62
Kadin,'Yuksek Lisans Mezunu',Var,Var,65,81,81
Kadin,'Onlisans Mezunu',Yok,Yok,65,70,71
